"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"698",82,88,33.8,2.925,22.7975250764976,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"699",82,90,37.5,3.075,22.477490779432,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"700",89,81,13,2.15,13,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia","untouched"
"701",81,90,23.4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"702",80,92,7.3,1.425,7,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"703",81,93,10.8,2.9,11,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"704",82,94,28,2.425,18,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"705",80,97,7.5,1.075,6,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"706",83,100,31.8,4.325,30.0629601348423,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"707",83,99,20.3,2.45,15,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum","untouched"
"708",84,97,7.5,1.25,9,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"709",85,98,12.5,3.2,9,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"710",89,97,10.6,2.225,10,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"711",92,98,18.5,2.05,17,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"712",90,97,6.8,0.8,7,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","umbellata","untouched"
