"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species"
"891",98,53,7.7,1.8875,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum"
"892",96.85,53.6,10.5,1.45,12.5,1,1,0,0,0,0,1,1,1,1,1,1,"Aglaia","rubiginosa"
"893",98.55,54.3,9.7,2.525,10.5,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia"
"894",97.85,58.5,7.5,1.9625,9,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"895",97.85,58.5,7.5,1.9625,9,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"896",98.45,59.9,7.5,1.925,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa"
"897",90.6,59.85,10.9,1.65,11,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum"
"898",90.55,59.45,12.3,2.6875,11,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana"
"899",90.95,59,7.5,1.1125,10,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"900",90.65,58.6,14.4,2.05,13,0,0,0,0,0,0,0,0,0,0,0,0,"Ilex","hypoglauca"
"901",90.7,53.9,7.5,2.475,10.5,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca"
"902",0.5,62,8.6,2.85,8,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
