"","TreeID","x","y","DBH","crown","height","fruiting","species"
"973",65849,27,1,62,4.0009190192694,7.13084793007864,0,"Diospyros toposia"
"974",65832,27,2,16.6,1.6766892664641,2.87253606448749,0,"Orophea myriantha"
"975",65831,27,3,71,4.3753394889142,7.82995326368898,0,"Ryparosa acuminata"
"976",65811,27,7,18.9,1.82661086593822,3.14159034868179,0,"Mallotus miquelianus"
"977",65812,27,8,27.2,2.32271926849706,4.03871728371569,0,"Orophea myriantha"
"978",65895,27,11,225,9.36745699565884,17.3538902553624,0,"Dillenia excelsa"
"979",65891,27,15,21.1,1.96429932109468,3.3895793355403,0,"Mastixia trichotoma"
"980",65882,27,17,30,2.47788572745443,4.32120206482135,0,"Praravinia suberosa"
"981",66087,27,20,48,3.37909547460502,5.97650604307774,0,"Goniothalamus woodii"
"982",66078,27,24,60,3.91526418153127,6.97132407104356,0,"Aglaia silvestris"
"983",66070,27,26,136,6.71919005676318,12.2611937726156,0,"Hydnocarpus anomalus"
"984",66063,27,29,30,2.47788572745443,4.32120206482135,0,"Mallotus miquelianus"
"985",66144,27,30,31,2.53209481529068,4.42008354300624,0,"Mallotus miquelianus"
"986",66162,27,31,40,2.99599331736387,5.27002048312909,0,"Aglaia silvestris"
"987",66151,27,32,38,2.89626582536423,5.08676402116854,0,"Spathiostemon javensis"
"988",66330,27,41,12.6,1.3977381075815,2.37490687829627,0,"Mallotus miquelianus"
"989",66348,27,42,81,4.77288926519274,8.57522595097558,0,"Spathiostemon javensis"
"990",66343,27,43,46,3.2854995720469,5.80355110410379,0,"Leea aculeata"
"991",66339,27,44,14,1.49839304866314,2.55399036064255,0,"Mallotus miquelianus"
"992",66311,27,45,32,2.58571248101366,4.51798093785213,0,"Unidentified unknown<ca>mixed"
"993",66328,27,47,15.2,1.58196916467616,2.70310542952369,0,"Diospyros cauliflora"
"994",66319,27,48,14.9,1.56129217540928,2.66617980411247,0,"Mallotus miquelianus"
"995",66384,27,50,19,1.83298378317277,3.15305026240762,0,"Syzygium unknown<ca>mixed"
"996",66393,27,52,37,2.84573453208141,4.99401794754835,0,"Dillenia excelsa"
"997",66392,27,54,25.5,2.22585959055896,3.86281254960733,0,"Brownlowia peltata"
"998",66377,27,57,23.4,2.10311834641062,3.64040624568938,0,"Pseuduvaria reticulata"
"999",66533,27,60,35,2.74325484763462,4.80615596233589,0,"Orophea myriantha"
"1000",66532,27,65,87,5.00338535202283,9.00863919813746,0,"Syzygium unknown<ca>mixed"
"1001",66529,27,67,18,1.76872819714215,3.03758848436408,0,"Litsea oppositifolia"
"1002",66530,27,69,19,1.83298378317277,3.15305026240762,0,"Unidentified Unknown species"
"1003",66573,27,73,32,2.58571248101366,4.51798093785213,0,"Unidentified unknown<ca>mixed"
"1004",66575,27,74,68,4.25242956024377,7.60014816517776,0,"Brownlowia peltata"
"1005",66570,27,76,26.7,2.29445042495646,3.98734376470896,0,"Syzygium unknown<ca>mixed"
"1006",66563,27,77,20.1,1.90235096894744,3.27790368729137,0,"Brownlowia peltata"
"1007",66564,27,79,22.6,2.05538326367085,3.5540679941734,0,"Microcos crassifolia"
"1008",66680,27,85,15,1.56820009931514,2.67851373637564,0,"Syzygium unknown<ca>mixed"
"1009",66744,27,93,244,9.88231132434714,18.3522741995403,0,"Diospyros frutescens"
"1010",66733,27,99,85,4.92717215800282,8.86522919336267,0,"Unidentified unknown"
"1011",65845,28,1,53,3.60747491604446,6.39942950340747,0,"Litsea accedens"
"1012",65839,28,2,16.7,1.68334881269432,2.88446500440755,0,"Xanthophyllum vitellinum"
"1013",65833,28,3,21.4,1.98268780998915,3.42275972273333,0,"Unidentified denticulatum"
"1014",65834,28,4,15.2,1.58196916467616,2.70310542952369,0,"Mallotus miquelianus"
"1015",65820,28,5,40,2.99599331736387,5.27002048312909,0,"Ryparosa acuminata"
"1016",65816,28,7,15.2,1.58196916467616,2.70310542952369,0,"Nephelium ramboutan-ake"
"1017",65813,28,8,16,1.63644131147714,2.80048787841643,0,"Chisocheton unknown<ca>mixed"
"1018",65814,28,9,108,5.77086513094587,10.4581122870888,0,"Baccaurea tetrandra"
"1019",65905,28,10,17.5,1.73614645616723,2.97911427680774,0,"Unidentified unknown<ca>mixed"
