"","x","y","dbh","crown","height","fruiting"
"3059",87,34,19.5,1.86467904172139,3.21007212967099,0
"3060",87,35,33,2.63876336742777,4.61493435396522,0
"3061",87,37,39,2.94634695265143,5.17875645981544,0
"3062",87,43,31,2.53209481529068,4.42008354300624,0
"3063",87,44,169,7.75508337165058,14.2440252664605,0
"3064",87,45,61,3.95821096144865,7.05128868436644,0
"3065",87,46,78,4.6554716233548,8.35480244265696,0
"3066",87,49,108,5.77086513094587,10.4581122870888,0
"3067",87,55,38,2.89626582536423,5.08676402116854,0
"3068",87,60,50,3.4713743401858,6.14724060916549,0
"3069",87,62,12.8,1.41234184302385,2.40085420765934,0
"3070",87,64,62,4.0009190192694,7.13084793007864,0
"3071",87,68,36,2.79473669039987,4.90049143764063,0
"3072",87,69,31,2.53209481529068,4.42008354300624,0
"3073",87,70,22.9,2.07335020682027,3.58655414813423,0
"3074",87,71,17.2,1.71644551026872,2.94378126868347,0
"3075",87,73,53,3.60747491604446,6.39942950340747,0
"3076",87,80,15.6,1.60932397389524,2.75199019385456,0
"3077",87,81,23,2.07932137390245,3.59735349537344,0
"3078",87,83,28.7,2.40648576964264,4.19111345908988,0
"3079",87,84,19.8,1.8835635242752,3.24406756254766,0
"3080",87,86,28.4,2.38985389249682,4.16083566918291,0
"3081",87,94,14.8,1.55436847031843,2.65382018371192,0
"3082",87,98,24.7,2.1795218899617,3.77878173008818,0
"3083",88,1,13.7,1.47712354371992,2.51610117483792,0
"3084",88,3,18.2,1.78167449123576,3.06083674868159,0
"3085",88,4,15.4,1.59567676709718,2.72759701541812,0
"3086",88,5,108,5.77086513094587,10.4581122870888,0
"3087",88,9,75,4.53650798753283,8.13173431988767,0
"3088",88,10,20.4,1.9210433117242,3.31158361176988,0
"3089",88,15,37,2.84573453208141,4.99401794754835,0
"3090",88,17,27.8,2.35640975177478,4.09998075677409,0
"3091",88,18,35,2.74325484763462,4.80615596233589,0
"3092",88,20,123,6.28808812591117,11.4399845011463,0
"3093",88,21,24.7,2.1795218899617,3.77878173008818,0
"3094",88,22,36,2.79473669039987,4.90049143764063,0
"3095",88,23,25.8,2.24310834972703,3.89411260999031,0
"3096",88,24,53,3.60747491604446,6.39942950340747,0
"3097",88,25,16.6,1.6766892664641,2.87253606448749,0
"3098",88,27,23.3,2.09718215642497,3.62966459067031,0
"3099",88,31,50,3.4713743401858,6.14724060916549,0
"3100",88,32,57,3.7849369624827,6.72890752095051,0
"3101",88,35,14.9,1.56129217540928,2.66617980411247,0
"3102",88,37,30,2.47788572745443,4.32120206482135,0
"3103",88,38,14.6,1.54047314210147,2.62902296445205,0
"3104",88,40,12.7,1.40504974956865,2.38789637715913,0
"3105",88,41,47,3.3324668067184,5.89031378906892,0
"3106",88,43,23,2.07932137390245,3.59735349537344,0
"3107",88,47,44,3.19050928270202,5.62824839219786,0
"3108",88,48,19,1.83298378317277,3.15305026240762,0
"3109",88,50,50,3.4713743401858,6.14724060916549,0
"3110",88,51,18.3,1.7881294883691,3.07243116074963,0
"3111",88,52,144,6.97751037352468,12.7544292400731,0
"3112",88,53,65,4.12766137493598,7.3671773588009,0
"3113",88,54,27.2,2.32271926849706,4.03871728371569,0
"3114",88,67,31,2.53209481529068,4.42008354300624,0
"3115",88,68,49,3.42539499533931,6.06214338623986,0
"3116",88,69,13.7,1.47712354371992,2.51610117483792,0
"3117",88,73,30,2.47788572745443,4.32120206482135,0
"3118",88,76,51,3.51704206189776,6.23181182112112,0
"3119",88,79,28.5,2.39540445901216,4.17093923294985,0
"3120",88,81,13,1.42686819816098,2.42667615266314,0
"3121",88,82,108,5.77086513094587,10.4581122870888,0
"3122",88,83,137,6.75175726436448,12.3233306282368,0
"3123",88,84,18.5,1.80100362433549,3.09556125160459,0
"3124",88,87,37,2.84573453208141,4.99401794754835,0
"3125",88,89,141,6.88122661465263,12.5704868167117,0
"3126",88,90,216,9.1184437172782,16.8719001867996,0
"3127",89,6,93,5.2285346694751,9.43287639603101,0
"3128",89,8,36,2.79473669039987,4.90049143764063,0
"3129",89,12,23.8,2.12677740503286,3.68323144387363,0
"3130",89,21,24.5,2.16785815115177,3.75764291702788,0
"3131",89,28,11.6,1.32349869964468,2.24319444985503,0
"3132",89,31,51,3.51704206189776,6.23181182112112,0
"3133",89,33,66,4.16946414499932,7.44519753195426,0
"3134",89,36,34,2.69127037813634,4.71098110052402,0
"3135",89,38,13.8,1.4842308118542,2.52875921741581,0
"3136",89,40,14.2,1.51248666152669,2.57911000863342,0
"3137",89,45,92,5.191360784053,9.36277334469959,0
"3138",89,47,23.4,2.10311834641062,3.64040624568938,0
"3139",89,50,24.9,2.1911535618247,3.79986754803128,0
"3140",89,54,14.8,1.55436847031843,2.65382018371192,0
"3141",89,62,14.7,1.54742884099247,2.6414346475575,0
"3142",89,64,15.3,1.58883058128165,2.71536362843735,0
"3143",89,78,20.2,1.90859222309227,3.28914753397876,0
"3144",89,86,53,3.60747491604446,6.39942950340747,0
"3145",89,89,36,2.79473669039987,4.90049143764063,0
"3146",89,91,29.9,2.47243128514817,4.31125815755507,0
"3147",89,93,16.7,1.68334881269432,2.88446500440755,0
"3148",89,95,127,6.42231646349167,11.6954106837919,0
"3149",89,99,11,1.27791044027133,2.16247881702326,0
"3150",90,0,287,10.9997622377991,20.5271860183224,0
"3151",90,1,88,5.04126827843637,9.07996036884317,0
"3152",90,2,35,2.74325484763462,4.80615596233589,0
"3153",90,4,194,8.49435461923443,15.6665764686092,0
"3154",90,7,50,3.4713743401858,6.14724060916549,0
"3155",90,8,12.5,1.39040670888019,2.36188538140806,0
"3156",90,14,37,2.84573453208141,4.99401794754835,0
"3157",90,15,15,1.56820009931514,2.67851373637564,0
"3158",90,18,24.1,2.14443306084364,3.71520402493874,0
"3159",90,19,104,5.62889632811149,10.1892897728029,0
"3160",90,20,14.8,1.55436847031843,2.65382018371192,0
"3161",90,23,22.9,2.07335020682027,3.58655414813423,0
"3162",90,24,24.1,2.14443306084364,3.71520402493874,0
"3163",90,25,74,4.49649568588103,8.05676684559454,0
"3164",90,26,22.2,2.03130065793807,3.51054433017067,0
"3165",90,27,69,4.29360062931984,7.67709264870786,0
"3166",90,29,12,1.35344579910274,2.296285952106,0
"3167",90,30,33,2.63876336742777,4.61493435396522,0
"3168",90,33,25.5,2.22585959055896,3.86281254960733,0
"3169",90,34,26.5,2.28309258128283,3.96671101529548,0
"3170",90,37,30,2.47788572745443,4.32120206482135,0
"3171",90,38,17.8,1.75573290114583,3.01426000271247,0
"3172",90,39,12.1,1.36087924446205,2.30947260338665,0
"3173",90,44,116,6.04955624578227,10.9866912926385,0
"3174",90,47,13.7,1.47712354371992,2.51610117483792,0
"3175",90,48,20.1,1.90235096894744,3.27790368729137,0
"3176",90,49,31,2.53209481529068,4.42008354300624,0
"3177",90,52,20.7,1.9396424221303,3.34511033850422,0
"3178",90,58,133,6.62099605455743,12.0739268806526,0
"3179",90,59,48,3.37909547460502,5.97650604307774,0
"3180",90,60,32,2.58571248101366,4.51798093785213,0
"3181",90,63,15.8,1.62291182043506,2.77628661438447,0
"3182",90,67,421,14.1647015801047,26.7390242622581,1
"3183",90,68,16.1,1.64318447962108,2.81255331451326,0
"3184",90,69,204,8.78086209527777,16.2194351161255,0
"3185",90,74,49,3.42539499533931,6.06214338623986,0
"3186",90,82,29.9,2.47243128514817,4.31125815755507,0
"3187",90,83,14.1,1.50544835132373,2.56656399166483,0
"3188",90,84,79,4.69477870820206,8.42856425839469,0
"3189",90,90,13.7,1.47712354371992,2.51610117483792,0
"3190",90,94,31,2.53209481529068,4.42008354300624,0
"3191",90,96,39,2.94634695265143,5.17875645981544,0
"3192",90,99,30,2.47788572745443,4.32120206482135,0
"3193",91,1,28.5,2.39540445901216,4.17093923294985,0
"3194",91,3,36,2.79473669039987,4.90049143764063,0
"3195",91,4,478,15.4029412102487,29.1874502627577,1
"3196",91,5,13.6,1.46999861502099,2.5034144572495,0
"3197",91,10,19.3,1.85203448918197,3.18731841853367,0
"3198",91,18,37,2.84573453208141,4.99401794754835,0
"3199",91,19,29.7,2.46150375486229,4.29133935233818,0
"3200",91,21,94,5.26557289544193,9.5027461543698,0
"3201",91,22,19.8,1.8835635242752,3.24406756254766,0
"3202",91,23,95,5.30247739240221,9.57238586569455,0
"3203",91,24,16.4,1.6633291006718,2.8486111137301,0
"3204",91,25,35,2.74325484763462,4.80615596233589,0
"3205",91,28,34,2.69127037813634,4.71098110052402,0
"3206",91,29,14.3,1.51950813943422,2.59162866602404,0
"3207",91,30,21.2,1.97043863499904,3.40065561613,0
"3208",91,31,112,5.91105691510839,10.7238651655159,0
"3209",91,32,49,3.42539499533931,6.06214338623986,0
"3210",91,33,23.4,2.10311834641062,3.64040624568938,0
"3211",91,35,26.3,2.27170555520403,3.94602993598958,0
"3212",91,37,193,8.46543091764497,15.6108105198073,0
"3213",91,40,47,3.3324668067184,5.89031378906892,0
"3214",91,41,58,3.8286328543465,6.81014289616826,0
"3215",91,49,16.5,1.67001606612446,2.86058482666182,0
"3216",91,52,140,6.84897765944948,12.508903835139,0
"3217",91,53,12,1.35344579910274,2.296285952106,0
"3218",91,54,39,2.94634695265143,5.17875645981544,0
"3219",91,56,46,3.2854995720469,5.80355110410379,0
"3220",91,69,20.2,1.90859222309227,3.28914753397876,0
"3221",91,71,19,1.83298378317277,3.15305026240762,0
"3222",91,88,21.4,1.98268780998915,3.42275972273333,0
"3223",91,91,28.8,2.41201657548159,4.20118422162603,0
"3224",91,94,14.5,1.53350122598348,2.61658489953646,0
"3225",92,0,23.2,2.09123729783351,3.61890863461674,0
"3226",92,9,30,2.47788572745443,4.32120206482135,0
"3227",92,13,26.5,2.28309258128283,3.96671101529548,0
"3228",92,14,64,4.08563936120308,7.28878418368215,0
"3229",92,16,57,3.7849369624827,6.72890752095051,0
"3230",92,17,32,2.58571248101366,4.51798093785213,0
"3231",92,19,29.4,2.44506542310583,4.26138298195212,0
"3232",92,21,29.9,2.47243128514817,4.31125815755507,0
"3233",92,24,33,2.63876336742777,4.61493435396522,0
"3234",92,26,22.5,2.04937629291002,3.54320962220042,0
"3235",92,27,91,5.15404925953284,9.29243367275265,0
"3236",92,31,44,3.19050928270202,5.62824839219786,0
"3237",92,36,12.6,1.3977381075815,2.37490687829627,0
"3238",92,37,12.4,1.38305534137996,2.34883155073188,0
"3239",92,39,21,1.95815010643888,3.37848676971157,0
"3240",92,44,33,2.63876336742777,4.61493435396522,0
"3241",92,47,27.8,2.35640975177478,4.09998075677409,0
"3242",92,49,55,3.69675459284452,6.56509726779017,0
"3243",92,52,21.4,1.98268780998915,3.42275972273333,0
"3244",92,55,128,6.45564776145106,11.7588753930316,0
"3245",92,60,107,5.73554299016293,10.3912002869701,0
"3246",92,63,28.6,2.40094840773138,4.18103181282424,0
"3247",92,66,28,2.36758481970558,4.12031055509012,0
"3248",92,70,124,6.32178262128547,11.5040794381282,0
"3249",92,71,11,1.27791044027133,2.16247881702326,0
"3250",92,74,35,2.74325484763462,4.80615596233589,0
"3251",92,82,26.3,2.27170555520403,3.94602993598958,0
"3252",92,86,27.5,2.33959575109143,4.06940081686394,0
"3253",92,92,13.6,1.46999861502099,2.5034144572495,0
"3254",92,99,97,5.37589268540894,9.71098773990891,0
"3255",93,9,25.1,2.20275351141558,3.82090092779485,0
"3256",93,15,55,3.69675459284452,6.56509726779017,0
"3257",93,22,43,3.14246483654365,5.53967317744154,0
"3258",93,29,19.8,1.8835635242752,3.24406756254766,0
"3259",93,31,16.4,1.6633291006718,2.8486111137301,0
"3260",93,32,11.4,1.30839371092895,2.2164363119424,0
"3261",93,33,12.5,1.39040670888019,2.36188538140806,0
"3262",93,34,37,2.84573453208141,4.99401794754835,0
"3263",93,36,39,2.94634695265143,5.17875645981544,0
"3264",93,39,18.3,1.7881294883691,3.07243116074963,0
"3265",93,43,21.8,2.00707005689919,3.46677686552933,0
"3266",93,46,36,2.79473669039987,4.90049143764063,0
"3267",93,53,22,2.01920408135173,3.48869143448845,0
"3268",93,56,30,2.47788572745443,4.32120206482135,0
"3269",93,59,17.8,1.75573290114583,3.01426000271247,0
"3270",93,60,28.8,2.41201657548159,4.20118422162603,0
"3271",93,62,204,8.78086209527777,16.2194351161255,0
"3272",93,64,20.6,1.93345296504793,3.33395160373782,0
"3273",93,67,87,5.00338535202283,9.00863919813746,0
"3274",93,70,39,2.94634695265143,5.17875645981544,0
"3275",93,82,13,1.42686819816098,2.42667615266314,0
"3276",93,83,14.4,1.52651294259072,2.60412021420598,0
"3277",93,84,94,5.26557289544193,9.5027461543698,0
